smiles,zinc_id,minimal_disttoref,consensus_sars,tox_counts,ct_tox
S=C(NN=C1COc2ccc(Cl)cc21)Nc1ccccn1,ZINC000814882701,0.509091,0.806554,10,0.051316
S=C(NNc1ccc2ccccc2n1)Nc1ccccc1,ZINC000047367925,0.565217,0.806498,7,0.050354
Cn1c(C=NNC(=S)Nc2ccccc2)nc2ccc(Cl)cc21,ZINC000763346603,0.537037,0.806475,7,0.061371
CSCCNC(=S)NN=Cc1ccc(F)c2cccnc12,ZINC000769594006,0.550000,0.806429,4,0.052446
S=C(NN=C1COc2cccc(Cl)c21)Nc1ccccn1,ZINC000814882480,0.596491,0.806425,10,0.051193
Cn1cnc2cc(C=NNC(=S)Nc3cccc(Br)c3)ccc21,ZINC000761255959,0.531250,0.806290,6,0.072606
Cc1ccc(NC(=S)NN=Cc2cnc3ccc(Cl)cn23)cc1,ZINC000737417205,0.615385,0.806277,5,0.050553
C=CCNC(=S)N/N=C/c1ccc2c(c1)c1ccccc1n2C,ZINC000002751996,0.633333,0.806276,6,0.076387
FC(F)(F)CNC(=S)NN=Cc1cnc2ccccn12,ZINC000755673701,0.650000,0.806196,3,0.050445
S=C(NN=Cc1cn2cc(Cl)ccc2n1)Nc1cccc(Br)c1,ZINC000920371582,0.575758,0.806191,5,0.052756
S=C(N/N=C\c1cn(Cc2ccc3ccccc3c2)c2ccccc12)Nc1ccccc1,ZINC000409201995,0.615385,0.806168,10,0.113394
S=C(Nc1cc2ccccc2cn1)NC(c1ccccc1)c1ccccc1,ZINC001244782969,0.677419,0.806060,3,0.061513
C[C@@H](NC(=S)NN=Cc1cnc2ncccn12)c1ccc(Cl)cc1Cl,ZINC000755682252,0.676056,0.805978,9,0.062570
O=C(NC(=S)NNc1ccccc1)c1cccc2c(Br)cccc12,ZINC000408628355,0.576923,0.805896,2,0.056687
CCNC(=S)N/N=C/c1cn(Cc2ccc(Cl)c(Cl)c2)c2ccccc12,ZINC000006205773,0.619718,0.805799,23,0.086396
Cn1c(C=NNC(=S)NCCc2ccc(Cl)cc2)nc2ccccc21,ZINC000755577583,0.596774,0.805777,12,0.054050
CNC(=S)NN=Cc1cc(Cl)cc2cccnc12,ZINC000763118080,0.652778,0.805714,3,0.059444
FC(F)(F)CCCCNC(=S)NNc1cnnc2ccccc12,ZINC000794984290,0.718750,0.805531,3,0.051228
O=c1c(Br)nn(Cc2ccc3ccccc3c2)c2ccccc12,ZINC000755845312,0.736842,0.805500,14,0.107707
C=CCNC(=S)N/N=C/c1cn(CCCOc2cc(Cl)c(C)c(Cl)c2)c2ccccc12,ZINC000041077969,0.675676,0.805472,23,0.165320
